Round1,Round2,Round3,Round4,Round5,Round6
-10,-11,9,-9,0,2
3,-11,10,9,-6,-9
5,-9,0,10,0,-10
3,-8,0,11,0,9
10,-10,0,6,-1,-9
7,-2,8,9,-1,-9
0,-9,-9,-11,2,-10
11,11,-10,-9,-10,-9
-9,-10,-9,0,9,11
-9,10,0,8,-10,8
-9,9,-8,1,0,-10
11,-11,-1,8,-11,1
10,11,11,8,-7,-6
-8,-8,9,-9,3,-9
-9,-8,-8,-8,7,-3
2,4,-1,-9,11,9
-9,-9,-2,9,8,0
7,11,-5,-10,-6,9
10,0,-1,0,-8,-7
5,10,-10,1,9,-9
7,9,0,8,-9,1
8,-11,0,0,-1,5
-8,0,-1,-7,-2,-7
-5,-3,0,10,10,9
11,11,0,-2,4,-8
10,-10,1,2,-11,9
11,-2,-1,10,7,9
-11,-2,0,10,-11,7
9,-10,2,-5,9,-1
9,9,-11,11,-9,-8
11,5,-1,0,-11,-8
-4,-6,11,-3,-10,9
9,9,-2,11,-8,-8
-10,1,-10,-1,-11,2
-10,-1,-11,9,10,0
11,11,-10,-9,-2,-10
3,-3,11,-7,-2,11
-8,1,-1,11,10,-9
10,-2,9,10,11,-9
9,11,8,10,3,-9
-6,-10,-11,-1,9,8
2,-8,10,10,-3,8
10,4,-2,8,-1,2
7,11,0,11,-11,2
-10,9,9,-11,11,9
4,-9,-8,11,-11,3
8,-1,-9,-9,-8,-8
0,-9,-1,9,1,-8
1,4,-9,1,-7,-1
11,10,9,4,10,-11
11,-11,-10,-10,0,-9
-11,0,-8,9,11,-9
-10,1,9,11,9,-9
-6,-6,-2,10,-1,-9
3,-10,0,1,1,8
3,11,10,8,10,-11
11,-4,5,2,-11,-10
-9,9,-1,10,11,7
-11,-1,2,-1,11,5
-9,-9,-8,-1,-4,11
11,-1,-7,8,8,8
3,-7,3,-9,-3,-8
9,11,-6,-2,-2,3
-10,11,9,2,1,-1
1,-4,1,11,10,2
11,-7,-7,-11,1,1
-9,-11,2,-10,2,6
7,-9,5,-10,9,-2
-11,-11,8,-10,9,-11
-6,-8,-11,-10,-8,0
-11,-6,2,-7,10,11
-10,-10,8,11,-8,10
4,10,-9,6,-10,7
-2,-11,-6,0,11,2
8,-4,-1,-7,-11,-8
9,1,0,11,-1,-5
10,1,11,-4,-11,10
11,-9,-7,10,-11,-3
11,-10,11,10,-10,-4
10,-5,-1,10,-10,-10
-10,11,-9,8,-11,9
11,9,-11,-8,9,7
-10,-3,-11,9,-11,8
5,-10,-10,11,11,-9
-3,-10,10,-10,-9,-4
-3,-8,1,0,-1,-11
-9,-2,0,8,8,-11
-9,5,-11,10,10,-11
4,10,-11,-9,0,-11
-7,0,-11,11,-11,9
-10,-2,2,8,0,-10
-8,-10,-10,10,-10,9
-11,10,9,10,-10,-11
-10,8,10,7,-11,11
-8,-9,2,-11,-9,-4
11,-10,-6,-11,11,-7
-9,-7,10,7,11,9
6,7,10,9,0,11
-1,2,-11,-9,9,-10
10,-8,2,-11,9,11
9,4,-9,-2,10,-11
10,-11,2,1,-8,-11
-11,-11,11,-9,-10,11
-10,-11,8,-11,-6,-1
10,-1,2,9,4,7
-3,9,1,-11,1,0
3,-9,2,-11,-10,11
11,-3,0,-7,-10,-11
2,8,11,11,-10,2
-1,10,-11,2,10,-7
6,10,-1,9,-11,-11
4,8,11,11,2,11
-9,-2,-11,0,4,8
-11,-11,-2,-11,9,11
5,-9,0,-5,5,0
-6,-10,5,5,2,-9
-7,8,11,-11,4,9
-11,-10,1,-10,-1,-3
11,11,1,-4,7,-7
-11,1,0,-2,9,2
-4,-9,7,0,-6,-3
0,4,1,10,-9,-11
-9,0,2,0,-11,0
3,-5,-10,-9,11,0
10,4,9,-5,-1,10
-1,11,-10,6,-11,-11
4,-1,9,10,-11,0
4,10,5,-3,10,7
-1,9,7,-9,-7,-4
1,-7,11,10,-9,-8
-1,-11,0,7,-2,2
7,-11,10,10,2,11
1,-3,-8,-9,11,11
8,-5,-5,0,9,
-11,3,0,11,-9,
-5,4,2,-11,-6,
-11,-4,-11,-9,2,
-9,6,-1,11,,
5,11,-9,-11,,
1,-1,11,-3,,
-3,-9,3,-8,,
11,-10,-9,-1,,
-1,-5,1,-9,,
-10,-10,-2,2,,
10,-6,10,,,
-11,-10,1,,,
,-4,,,,
-2,,,,,